,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
CTXS,CTXS,10.87253279,106.2,1732622000,4890347000,608808000,Software & IT Services,Software,1732622000,Americas,,,
CUTR,CUTR,-19.3750989,,7796000,132733000,-22828000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,3555000,Americas,,,
CVE,CVE,-6.947709651,-14.5,7320502749,25742340927,-2023566379,Oil & Gas,Integrated Oil & Gas,5845247447,Americas,,,
CVI,CVI,-8.118736522,-19.08,1691000000,3978000000,-333000000,Oil & Gas,Oil & Gas Refining and Marketing,1683000000,Americas,,,
CVNA,CVNA,-18.15383643,-70.47,1722319000,3034531000,-462477000,Specialty Retailers,"Auto Vehicles, Parts & Service Retailers",1617002000,Americas,,,
CVS,CVS,3.178098878,14.8,64647000000,231000000000.0,12471000000,Healthcare Providers & Services,Healthcare Facilities & Services,58157000000,Americas,,,
CVX,CVX,-2.330591051,-0.27,44315000000,240000000000.0,-5404000000,Oil & Gas,Oil & Gas Refining and Marketing,42320000000,Americas,,,
CXW,CXW,1.475493891,,1798659000,3709315000,155521000,Professional & Commercial Services,Business Support Services,1747664000,Americas,,,
CYBR,CYBR,-0.434100147,12.18,502302000,1562352000,6006000,Software & IT Services,Software,502302000,Asia,,,
CYRX,CYRX,-9.49994678,-8.5,116427000,552405000,-30010000,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",116256000,Americas,,,
CYTK,CYTK,-30.90999822,-248.5,135713000,533803000,-93943000,Biotechnology & Medical Research,Biotechnology & Medical Research,135713000,Americas,,,
DAC,DAC,5.689777613,,1343007000,2714380000,198980000,Freight & Logistics Services,Marine Freight & Logistics,1187345000,Europe,,,
DAL,DAL,0.387631778,-104.189,26920000000,72471000000,1567000000,Passenger Transportation Services,Airlines,25138000000,Americas,,,
DAR,DAR,5.481180105,12,1508069000,5613331000,430936000,Food & Tobacco,Food Processing,1477747000,Americas,,,
DBD,DBD,-7.209989259,-9.02,2351300000,3657400000,24000000,"Computers, Phones & Household Electronics",Computer Hardware,2335700000,Americas,,,
DBX,DBX,-10.07785467,68.48,271200000,2387200000,-277000000,Software & IT Services,Software,,Americas,,,
DCP,DCP,-2.230098951,-5.87,5624000000,12957000000,-447000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,5097000000,Americas,,,
DD,DD,5.139827913,13.04,1018696125,2518344833,55682443.24,Real Estate Operations,"Real Estate Rental, Development & Operations",595214180.2,Asia,,,
DDD,DDD,-19.42316344,-2.75,32414000,733055000,-118963000,Electronic Equipment & Parts,Electronic Equipment & Parts,19218000,Americas,,,
DE,DE,7.467102164,38.02,48412000000,84114000000,8503000000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,32850000000,Americas,,,
DGX,DGX,10.59957572,24.63,4168000000,14026000000,1971000000,Healthcare Providers & Services,Healthcare Facilities & Services,3988000000,Americas,,,
DHI,DHI,19.5265583,31.25,5412400000,24015900000,5356300000,Homebuilding & Construction Supplies,Homebuilding,3488300000,Americas,,,
DHR,DHR,5.274785052,13.26,21204000000,76161000000,4660000000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,21193000000,Americas,,,
DIA,DIA,21.49750779,27.54,42330239.37,1522283830,395977039.6,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",,Europe,,,
DIDI,DIDI,,,,,,Investment Banking & Investment Services,Diversified Investment Services,,Asia,,,
DIG,DIG,6.372698028,20.059,9403553.981,32250622.86,3075635.076,Media & Publishing,Advertising & Marketing,7168270.64,Europe,,,
DIS,DIS,1.2518573,5.509,54693000000,204000000000.0,3131000000,Media & Publishing,Broadcasting,48540000000,Americas,,,
DISH,DISH,5.243914578,13.91,15702028000,38239947000,2582615000,Media & Publishing,Broadcasting,13512613000,Americas,,,
DKL,DKL,18.72648254,-108.34,992291000,956417000,179793000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,992291000,Americas,,,
DKS,DKS,7.374112388,26.829,418493000,7752859000,741477000,Specialty Retailers,Miscellaneous Specialty Retailers,418493000,Americas,,,
DLNG,DLNG,3.483537798,,607681000,965837000,64264000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,561966000,Europe,,,
DLTR,DLTR,6.664415231,19.82,3226200000,20696000000,1887900000,Diversified Retail,Discount Stores,3226200000,Americas,,,
DLX,DLX,0.470164201,,840000000,1842175000,44505000,Professional & Commercial Services,Commercial Printing Services,840000000,Americas,,,
DMRE,DMRE,0.555117029,5.809,1036196873,1984991451,7881045.432,Real Estate Operations,"Real Estate Rental, Development & Operations",998219345.4,Europe,,,
DNP,DNP,12.98054884,33.119,395403933.4,1494596335,224801856.7,Food & Drug Retailing,Food Retail & Distribution,307420514.6,Europe,,,
DOC,DOC,-3.556742049,-49.49,621982970.9,1006297938,-32029179.27,Transport Infrastructure,Airport Operators & Services,421363732.3,Europe,,,
DOCU,DOCU,-11.50839297,41.95,717078000,2336507000,-207607000,Software & IT Services,Software,696609000,Americas,,,
DOL,DOL,14.21495322,463.4,2708430774,3305741567,673867105,Diversified Retail,Discount Stores,817155044.2,Americas,,,
DOOR,DOOR,3.617220343,23.42,819168000,2137760000,143890000,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,792242000,Americas,,,
DOV,DOV,7.669938492,25.68,3120179000,9152074000,938200000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,3108829000,Americas,,,
DOX,DOX,10.7111623,17.24,644553000,6511774000,825103000,Software & IT Services,IT Services & Consulting,644553000,Americas,,,
DPW,DPW,5.910156686,21.359,23258426966,67546409380,5919638495,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics",8808011724,Europe,,,
DRI,DRI,6.139150188,22.1,1492400000,10656100000,639000000,Hotels & Entertainment Services,Restaurants & Bars,929800000,Americas,,,
DSM,DSM,3.538677312,9.66,4379579873,17542745481,808500244.3,Chemicals,Diversified Chemicals,4043722521,Europe,,,
DSX,DSX,-13.80847769,,420314000,872410000,-112301000,Freight & Logistics Services,Marine Freight & Logistics,381097000,Europe,,,
DTE,DTE,3.124287863,11.54,19515000000,45496000000,1984000000,Electric Utilities & IPPs,Electric Utilities,18977000000,Americas,,,
DUK,DUK,0.669310703,7.96,62736000000,162000000000.0,4553000000,Electric Utilities & IPPs,Electric Utilities,54909000000,Americas,,,
DVA,DVA,5.85616697,50.61,8085804000,16988516000,1605614000,Healthcare Providers & Services,Healthcare Facilities & Services,7917263000,Americas,,,
DVAX,DVAX,-23.79732422,,179811000,353272000,-68371000,Biotechnology & Medical Research,Biotechnology & Medical Research,179811000,Americas,,,
DVN,DVN,-21.52439799,-0.71,4550000000,9912000000,-2854000000,Oil & Gas,Oil & Gas Exploration and Production,4298000000,Americas,,,
DXC,DXC,-0.624427608,12.369,5512000000,22038000000,931000000,Software & IT Services,IT Services & Consulting,3849000000,Americas,,,
DXCM,DXCM,14.76628524,22.33,1721200000,4290500000,293600000,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",1667200000,Americas,,,
DY,DY,1.523669108,9.69,583284000,1944165000,80291000,Construction & Engineering,Construction & Engineering,501562000,Americas,,,
EAT,EAT,5.683560431,-37.17,939400000,2274900000,199300000,Hotels & Entertainment Services,Restaurants & Bars,818100000,Americas,,,
EB,EB,-28.02494232,-60.619,206630000,795685000,-198280000,Software & IT Services,Online Services,206630000,Americas,,,
EBAY,EBAY,13.56312026,86.58,7763000000,19310000000,2671000000,Software & IT Services,Online Services,7740000000,Americas,,,
EBS,EBS,11.71096824,33.44,874800000,2883200000,433800000,Pharmaceuticals,Pharmaceuticals,841000000,Americas,,,
ECF,ECF,0.918393693,,63444034.62,118000143.8,4767786.618,Household Goods,Home Furnishings,20531401.46,Asia,,,
ECL,ECL,5.050891009,15.7,6686600000,18126000000,1311900000,Chemicals,Specialty Chemicals,6669300000,Americas,,,
ED,ED,1.891315489,7.59,24222000000,62895000000,2334000000,Electric Utilities & IPPs,Electric Utilities,20382000000,Americas,,,
EDEN,EDEN,2.904881511,-19.65,4025403029,11514411334,504396678.1,Professional & Commercial Services,Business Support Services,3575964827,Europe,,,
EDR,EDR,-11.72186783,-27.45,599471067,1156667370,-130121033,Hotels & Entertainment Services,Leisure & Recreation,569570520.5,Europe,,,
EDU,EDU,2.769809177,12.529,297631000,10151053000,77059000,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers,297631000,Asia,,,
EEFT,EEFT,-0.068945535,10.03,1450963000,4926711000,46622000,Professional & Commercial Services,Business Support Services,1437589000,Americas,,,
EFX,EFX,6.006575042,29.79,4378400000,9611800000,676600000,Professional & Commercial Services,Professional Information Services,3277300000,Americas,,,
EGHT,EGHT,-24.01435771,-29.16,308435000,678409000,-146149000,Communications & Networking,Communications & Networking,308435000,Americas,,,
EGL,EGL,0.158236345,,2677757694,5881145579,190072056.7,Construction & Engineering,Construction & Engineering,1137298486,Europe,,,
EGLE,EGLE,-3.561163636,-7.37,452175320,967127060,-4754780,Freight & Logistics Services,Marine Freight & Logistics,412931020,Americas,,,
EHC,EHC,5.888269762,19.6,3288900000,6445900000,642700000,Healthcare Providers & Services,Healthcare Facilities & Services,2882700000,Americas,,,
EIX,EIX,1.302390957,10.72,23059000000,69372000000,1217000000,Electric Utilities & IPPs,Electric Utilities,19632000000,Americas,,,
EL,EL,0.284077368,2.35,14527357108,63895945286,552027357.1,Textiles & Apparel,Apparel & Accessories,11387396190,Europe,,,
ELAN,ELAN,-4.198886744,2.95,6126900000,17692700000,-704300000,Pharmaceuticals,Pharmaceuticals,5572400000,Americas,,,
